File Description: RCMIP SSP370 effective radiative forcing scenario from 1750-2500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,cf4,cfc113,cfc114,cfc115,cfc11,cfc12,ch2cl2,ch3ccl3,chcl3,halon1211,halon1301,halon2402,halon1202,hcfc141b,hcfc142b,hcfc22,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc236fa,hfc23,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methyl_bromide,methyl_chloride,nf3,nitrous_oxide,sf6,so2f2,so2,nox,co,nmvoc,bc,nh3,oc,nox_avi
1750,0,0,0,0,0,0,0,0,0.08370013,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01978312,0,0,0,0.054741468,0,0,0,0,0,0,0,0,0,0
1751,0,0,0,0,0,0,0,0,0.085192382,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.91510887,1.95E-05,0.0010236,0,0.055775659,0,0,-0.031669297,-0.142908704,-4.600991529,-0.933699943,-0.02484483,-0.067547906,-0.258951403,0
1752,0,0,0,0,0,0,0,0,0.086713094,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88971181,3.73E-05,0.00196,0,0.056829387,0,0,-0.042932391,-0.140941523,-6.718324876,-1.389829197,-0.033458823,-0.108208055,-0.413192406,0
1753,0,0,0,0,0,0,0,0,0.088260754,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12137723,1.60E-05,0.0008411,0,0.057903023,0,0,-0.02935507,-0.195391609,-4.851902568,-0.995476824,-0.025820192,-0.046251562,-0.265122996,0
1754,0,0,0,0,0,0,0,0,0.089837892,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.50906107,-1.42E-05,-0.0007451,0,0.058996942,0,0,0.022016818,-0.098375159,1.288266423,0.24811895,0.001579027,0.087499133,0.111104903,0
1755,0,0,0,0,0,0,0,0,0.091444025,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.50045493,4.09E-06,0.0002149,0,0.060111528,0,0,0.002306709,0.030779307,-0.382690822,-0.196892499,0.00140241,0.016298951,-0.08948562,0
1756,0,0,0,0,0,0,0,0,0.093256021,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4625366,-2.17E-06,-0.0001143,0,0.061247171,0,0,-0.02086411,-0.319049335,-5.204207102,-1.074996912,-0.028855348,-0.004978535,-0.251891521,0
1757,0,0,0,0,0,0,0,0,0.094921754,2.49E-05,1.01E-05,0,0,0,0,0,0,0,0,7.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02354066,3.64E-06,0.0001912,0,0.062404268,0,0,0.067416259,0.39793986,7.414533486,1.241866772,0.050152921,0.119984038,0.257150973,0
