,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,cf4,cfc113,cfc114,cfc115,cfc11,cfc12,ch2cl2,ch3ccl3,chcl3,halon1211,halon1301,halon2402,halon1202,hcfc141b,hcfc142b,hcfc22,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc236fa,hfc23,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methyl_bromide,methyl_chloride,nf3,nitrous_oxide,sf6,so2f2,so2,nox,co,nmvoc,bc,nh3,oc,nox_avi
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08370012989908002,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.019783117809567,0.10508772999999999,4.275744899999999,0.0,0.054741468433575226,0.0,0.0,2.4400484348220126,12.735211942317768,348.5273587773604,60.02182622415481,2.097770755422972,6.92769009144426,15.4476681469614,0.0
1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08519238220819592,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91510886993145,0.10510720000000001,4.2767685,0.0,0.055775658669709884,0.0,0.0,2.408379138223796,12.592303237945762,343.9263672486595,59.08812628149409,2.0729259257736388,6.860142184947855,15.188716744277112,0.0
1752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671309356749539,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88971181188677,0.10512502000000001,4.2777049,0.0,0.05682938710010789,0.0,0.0,2.397116044064474,12.594270419616072,341.8090339016869,58.63199702688318,2.0643119329193533,6.819482036717451,15.034475741403988,0.0
1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08826075374821399,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.121377231171937,0.10510373,4.276585999999999,0.0,0.057903022845480046,0.0,0.0,2.4106933649875284,12.53982033339792,343.6754562091752,59.02634940020826,2.071950563515468,6.88143852899345,15.18254515100842,0.0
1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983789232436856,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.50906106501577,0.10507356,4.2749998,0.0,0.05899694200006283,0.0,0.0,2.462065253289928,12.636836783079731,349.8156252006437,60.269945173845855,2.09934978275426,7.015189223980566,15.55877304959727,0.0
1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09144402544814566,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.50045493331169,0.10509182,4.2759598,0.0,0.0601115277633641,0.0,0.0,2.442355143653155,12.76599124957002,348.144667955229,59.82493372469855,2.099173164966012,6.943989042844271,15.358182527090069,0.0
1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09325602142421316,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.46253659981589,0.10508556000000002,4.2756306,0.0,0.06124717057439762,0.0,0.0,2.4191843248007623,12.416162607577876,343.32315167584505,58.94682931223554,2.068915407002321,6.92271155666652,15.195776625722106,0.0
1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492175370505603,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.02354066414417,0.10509137,4.2759361,0.0,0.0624042682484539,0.0,0.0,2.507464693488836,13.133151801932229,355.9418922631908,61.263692996283645,2.1479236761828795,7.047674128999731,15.704819120374072,0.0
1758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966181104025211,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93400532918585,0.10509662,4.2762118000000005,0.0,0.06358322611645466,0.0,0.0,2.4797438257676383,12.979345326040072,351.839749049401,60.43461244378834,2.120611409560707,6.995459767973222,15.514611629339964,0.0
1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09834565491767025,2.4856862000000002e-05,1.0071225e-05,0.0,0.0,0.0,0.0,0.0,0.2466579,0.0,0.30092479,7.7232726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.14146621388408,0.10508372,4.2755338,0.0,0.06478445716694012,0.0,0.0,2.473528034680374,12.752546091231231,351.50776272566816,60.44526305257086,2.1172674310973973,7.045958325346581,15.574013491239148,0.0
