"sample_id","global_temp_anomaly","thermal_box_1","thermal_box_2","thermal_box_3"
"mem100057",0.8255704501467722,0.45874595705790455,0.35825765810711924,0.02362171770446035
"mem10010",0.9572667534567667,0.4160234766324104,0.28789223110728435,0.26618443502642825
"mem100210",0.595783713890988,0.40820045421399526,0.11982056960771378,0.09652689309020784
"mem100229",0.716920494115725,0.4151064594995093,0.2571127907053796,0.06459783047398875
"mem100232",0.7732156316070604,0.47331490531551246,0.13856296737105586,0.18340725814013206
"mem100246",0.9250027885873603,0.29268068537469194,0.4595332996081397,0.19408021161870995
"mem100359",0.9595370069687801,0.7118422161992228,0.24654384872866691,0.029429999956883765
"mem100669",0.44793782162702234,0.17115030181631796,0.27648191313977577,0.025851571769918348
"mem100693",0.6889026112235598,0.2576746440155471,0.4280796179625997,0.03530164077014474
"mem10070",0.8290010691702522,0.5386080914134268,0.2774085095452669,0.02024531469966282
"mem100774",0.7430182999053563,0.4876120667999395,0.2261647894531559,0.053802993103725154
"mem100821",0.5227284452378318,0.21374432713612945,0.3198980781142912,0.028600662434037638
"mem100892",0.9960905619803455,0.25801625519957655,0.7214625013582228,0.03720920051622318
"mem10091",0.8286143576713219,0.4342910884240615,0.29595177775626325,0.12176198144319332
"mem101033",0.8710268567543583,0.46728442407323756,0.32623270208036,0.11028856530185165
"mem101143",0.5262248961819358,0.10334812048618985,0.3798412297095863,0.0746773049064612
"mem101191",0.7277956947457822,0.502557207169477,0.22885315873032852,0.02627686124125146
"mem101195",1.055319656769836,0.27851978838197133,0.5943433873808288,0.19591451501244583
"mem10123",0.8130781520317056,0.30935015510036706,0.3181480987686267,0.19771917988261203
"mem101629",0.8589687869726962,0.4579437980073068,0.3741554727297435,0.054630194514812366
"mem101697",0.8192510119127289,0.5195676949272323,0.1132078973502535,0.20362265066633928
"mem101832",0.9622140346795711,0.42874111183280283,0.38992842244623516,0.1646444231557268
"mem102041",0.9926151604375631,0.3252198755114453,0.22363477834885784,0.46547371576112545
"mem102257",0.72271498895909,0.2818378033231707,0.2305508749441804,0.23091136909253673
"mem10232",0.8137980046415577,0.28316368487679655,0.5238707935369016,0.034298183755051136
"mem102365",0.8262169724738624,0.30393175271988415,0.3308470951491572,0.2155588184438103
"mem102524",0.811993218595914,0.5772937034899355,0.267767475795864,0.00019073248329566967
"mem102725",0.8179397981208346,0.46349762255811977,0.3196964542208789,0.06624013561692808
"mem10275",0.6820275572873457,0.0275634570102228,0.4195622776421063,0.25541790267605374
"mem102766",0.6598320127757363,0.23656414388595096,0.3929643829366575,0.061063465516329164
"mem102868",0.8894486062801288,0.46799194869188854,0.39352610258689025,0.05222255754165422
"mem102906",0.7797939364730441,0.4675763322933111,0.3130045823868755,0.029066337400564447
"mem102975",0.6842880487740564,0.3702258663752527,0.3003645255075007,0.05809055424042998
"mem103037",0.7612211115886713,0.5265412897042536,0.198136442348674,0.061963146576656955
"mem103172",0.7408499259493864,0.06495358757372369,0.6624269343655873,0.04080424423392658
"mem1033",0.909258723077776,0.5162894638346714,0.3845935680202205,0.026608444820714474
"mem103412",0.8695176977411332,0.37161306405875727,0.07399004359376607,0.4327550970949954
"mem103456",0.7827427205542989,0.25929344685495603,0.5191724939166238,0.02954263610557327
"mem103526",0.6673634204405285,0.39082342078682286,0.2921600949822192,0.014638540830568808
"mem103715",0.765968958473513,0.42208760469575834,0.3150136126214681,0.04756510941749282
"mem103720",1.0166962961390855,0.6336504071260384,0.40992881708284923,0.00103256869522186
"mem103725",0.8570295812127648,0.49559724535516364,0.35000889603803814,0.03671203737821725
"mem103816",0.8180116327051242,0.38851562145919755,0.45304823626450696,0.014258359065818014
"mem10383",0.8694145638664837,0.5186557244843656,0.17134305955435386,0.20859145237540488
"mem103937",0.8626412700907292,0.35969500451781733,0.4369496931547881,0.08642453427517688
"mem104025",0.7970251550480834,0.6940964759657431,0.08880646977689234,0.032229233462778124
"mem104065",0.965066635502716,0.6232245635537645,0.36788814613572807,0.002664285746567608
"mem104112",0.8898995425414815,0.5044885053674467,0.3766555165952564,0.03053636843597159
"mem104147",0.6938496677703567,0.191366036116493,0.5359216951442902,0.0066513038213977405
"mem104258",0.8471420477229947,0.2738712440460883,0.554798426121304,0.05555816399611276
"mem104285",0.6025051623676,0.40142761508114444,0.0886268622659804,0.1472142129043344
"mem104387",0.6267085137759633,0.3369088915029652,0.2777031236007107,0.03485400855858224
"mem104445",0.9383550256114489,0.4049483007723045,0.1433809031511712,0.4085092009898689
"mem104477",0.8696349710441073,0.1977805299329018,0.6672846305679192,0.02550594154591673
"mem10449",0.9811726648230036,0.17125775087003967,0.8195055593501621,0.009289361739611963
"mem104610",0.7958740672099498,0.0502272598098851,0.7036045347393646,0.06971329688130633
"mem104639",0.6771646112643522,0.2756112388942408,0.40476041192324774,0.03038793698789068
"mem104685",0.8124001532727151,0.29764391335936025,0.47819504653473016,0.07637817455105524
"mem104689",0.7255430069801617,0.498347686582693,0.21922195044741752,0.027076079692796483
"mem104773",0.8031467024021217,0.4382324152005575,0.357681056218727,0.02346522941464014
"mem104952",0.7633016693423269,0.2955233835543111,0.46784191817070714,0.02999498038941331
"mem105034",1.252997492833871,0.7115021687415265,0.3987906684518294,0.1618636169626368
"mem10526",0.7132730449474087,0.2786664257948776,0.4362868443816136,0.013325397041701348
"mem105281",1.028031975497198,0.3479785171125226,0.6718433555877773,0.025511971165291133
"mem105296",0.9194228947490798,0.2818684210462197,0.5637491620001578,0.09334938599512325
"mem105363",0.8251229232973099,0.5922792393944565,0.23457968639433968,0.012436105616156016
"mem105422",1.077832818414664,0.4182072624438019,0.6171628304101272,0.05756562357203926
"mem105580",1.0093526824401942,0.6061979986941711,0.37707287378545473,0.0438659349050121
"mem105624",0.7864693048143487,0.3365109338555515,0.3725864236918346,0.09775952562957888
"mem105927",0.7799305388904495,0.29048044519782373,0.44001330947201267,0.07906359046203573
"mem105932",0.7937673233677469,0.3805233387405069,0.43420204423418596,0.012814527395533072
"mem105962",0.7107007384472808,0.31749185493100196,0.40670653946296376,0.012244492015229761
"mem105966",0.7687202714954059,0.08688652818651829,0.6070101332836243,0.11169930214351736
"mem106134",0.5064720614946739,0.2944772236811932,0.22123766671082673,0.016485236822649085
"mem106192",0.8087909458679928,0.4232661016269661,0.40233418933561393,0.018804138546173646
"mem106217",0.6837249654117667,0.3125055802053101,0.30466001483894956,0.0967645599611962
"mem106420",0.8433643256943162,0.30033408976641257,0.5331122583661849,0.03786699873730992
"mem106583",0.8395327198584713,0.4342925327122702,0.4334945980383254,0.007161733370629086
"mem106806",0.8301570366513898,0.5882237661315581,0.22893130860638988,0.029953385098337264
"mem106855",0.48182038052334936,0.07472096386363027,0.36804190326604413,0.07585077287395295
"mem106990",0.8663416150898248,0.398662868744795,0.4706363426914407,0.0236069590132112
"mem106995",0.9478078095751054,0.4971295414171699,0.32507797375129316,0.1374373269737898
"mem107164",0.5480453478268766,0.23434551381325325,0.34369675249458914,0.003510388421909025
"mem107185",0.8237578222391827,0.24907020737824093,0.49442234690568837,0.10686672971199886
"mem107194",0.5141792638244697,0.25700372010738726,0.28327949427593374,0.00249795716289421
"mem107205",0.963095223583337,0.14902850444533883,0.7994099275512456,0.03989097993726571
"mem107217",0.8482759074594074,0.22808558608332546,0.6279417094016296,0.01888133219390453
"mem107260",0.7492752250035988,0.2203656778692585,0.50417205966781,0.04651964419525805
"mem107382",0.8876456072379579,0.44869285998465736,0.41110873149577487,0.04572899756916933
"mem107398",0.6558921805775259,0.46680356339226625,0.16085249327423523,0.05420802059601517
"mem107496",0.7534109145183641,0.3245167761532043,0.43525934599983723,0.017413806613889107
"mem107598",0.7748924655551015,0.4532674516503823,0.0692514421937288,0.2724216677328074
"mem107785",0.7820742770165872,0.31040070460451263,0.27745081512083575,0.2144151375021928
"mem107794",0.9047463154974464,0.4263142666606522,0.36014639544135496,0.13789515329634092
"mem108055",0.9463842571428623,0.3423502148219825,0.6382412986913848,0.0036492908093182894
"mem108099",0.9785194212490804,0.14094243550414937,0.7952991334955641,0.059512491551992966
"mem108239",1.0255598048465584,0.07967187195375566,0.9253492173925955,0.0420538169825383
"mem108429",0.8887298666996786,0.48545960382647935,0.3636907015264755,0.06597885135762839
"mem108542",0.9417117272699895,0.3046031841098505,0.6002331791389265,0.05618984853953442
"mem108604",0.71403299834267,0.3155497190616041,0.38269478884726926,0.04018706706641748
"mem108689",0.9474351368009941,0.7289550140183119,0.15161406608011552,0.09342329997727813
