Forcing component,bc,bc|aci,bc|bc_on_snow,c2f6,c3f8,c4f10,c5f12,c6f14,c7f16,c8f18,c_c4f8,carbon_dioxide,carbon_tetrachloride,carbon_tetrachloride|o3,cf4,cfc11,cfc113,cfc113|o3,cfc114,cfc114|o3,cfc115,cfc115|o3,cfc11|o3,cfc12,cfc12|o3,ch2cl2,ch2cl2|o3,ch3ccl3,ch3ccl3|o3,chcl3,chcl3|o3,co,co|o3,halon1202,halon1202|o3,halon1211,halon1211|o3,halon1301,halon1301|o3,halon2402,halon2402|o3,hcfc141b,hcfc141b|o3,hcfc142b,hcfc142b|o3,hcfc22,hcfc22|o3,hfc125,hfc134a,hfc143a,hfc152a,hfc227ea,hfc23,hfc236fa,hfc245fa,hfc32,hfc365mfc,hfc4310mee,methane,methane|strat_h2o,methane|o3,methyl_bromide,methyl_bromide|o3,methyl_chloride,methyl_chloride|o3,nf3,nh3,nitrous_oxide,nitrous_oxide|o3,nmvoc,nmvoc|o3,nox,nox_avi,nox_avi|contrails,nox|o3,oc,oc|aci,sf6,so2,so2f2,so2|aci,External,Total
1760,0.001350986,-0.000191019,0.000276529,0,0,0,0,0,0,0,0,0.005170511,1.42E-06,-2.07E-06,6.08E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000578731,0,0,5.86E-07,-6.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028678275,0.001794783,0.0066945,-3.32E-09,2.55E-06,-3.43E-07,4.30E-06,0,0,0.00038782,7.97E-05,0,0.000191318,0,0,0,9.29E-05,-0.003378164,-0.001533754,0,-0.000201679,0,-0.000238347,0.246935956,0.286689368
1761,0.001751175,-0.000247603,0.000358442,0,0,0,0,0,0,0,0,0.00562173,1.53E-06,-2.24E-06,6.66E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766126,0,0,6.25E-07,-7.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030115329,0.001886029,0.007034843,-3.91E-09,3.01E-06,-4.23E-07,5.29E-06,0,0,0.000426923,8.78E-05,0,0.000264326,0,0,0,0.000145179,-0.004676908,-0.00212341,0,-0.000264201,0,-0.000312225,0.243730112,0.284564915
1762,0.001431687,-0.00020243,0.000293047,0,0,0,0,0,0,0,0,0.006074258,1.64E-06,-2.40E-06,7.24E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000598196,0,0,6.61E-07,-7.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-13,0,0,0,8.22E-12,0,0,0.031390176,0.001967079,0.007337161,-1.31E-09,1.01E-06,-1.59E-07,1.99E-06,0,0,0.000466448,9.59E-05,0,0.000191439,0,0,0,5.14E-05,-0.003519574,-0.001597957,0,-0.000240398,0,-0.0002841,-0.682627206,-0.63857905
1763,0.000763775,-0.000107992,0.000156334,0,0,0,0,0,0,0,0,0.006521156,1.74E-06,-2.55E-06,7.82E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323376,0,0,6.95E-07,-7.97E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53E-12,0,0,0,8.22E-11,0,0,0.032537901,0.002040132,0.007609646,-4.34E-10,3.33E-07,-5.84E-08,7.32E-07,0,0,0.000506405,0.000104107,0,8.12E-05,0,0,0,-0.000160406,-0.002172565,-0.000986388,0,-0.00018941,1.46E-12,-0.00022385,-0.43627635,-0.389479248
1764,-2.29E-05,3.23E-06,-4.68E-06,0,0,0,0,0,0,0,0,0.006964025,1.84E-06,-2.70E-06,8.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000107924,0,0,7.26E-07,-8.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16E-11,0,0,0,2.71E-10,0,0,0.033543761,0.002104221,0.007848696,1.79E-09,-1.37E-06,1.81E-07,-2.26E-06,0,0,0.000546806,0.000112414,0,-0.000114035,0,0,0,-0.000197507,0.001487101,0.000675173,0,-0.000103782,1.46E-11,-0.000122659,-0.072347991,-0.019747083
1765,-1.54E-05,2.18E-06,-3.16E-06,0,0,0,0,0,0,0,0,0.007412853,1.94E-06,-2.85E-06,8.98E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000134907,0,0,7.56E-07,-8.68E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26E-11,0,0,0,5.26E-10,0,0,0.034476416,0.0021637,0.008070551,1.04E-09,-8.03E-07,1.15E-07,-1.44E-06,0,0,0.000587662,0.000120815,0,-0.000136945,0,0,0,-0.000155336,0.001979058,0.000898532,0,-9.71E-05,4.82E-11,-0.000114754,0.046207621,0.101251704
1766,0.000684257,-9.67E-05,0.000140058,0,0,0,0,0,0,0,0,0.007870167,2.04E-06,-2.99E-06,9.56E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191368,0,0,7.84E-07,-9.00E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-11,0,0,0,7.88E-10,0,0,0.035365149,0.002220427,0.008282142,-1.39E-09,1.07E-06,-1.39E-07,1.74E-06,0,0,0.000628986,0.000129312,0,-7.10E-06,0,0,0,-4.24E-05,-7.20E-05,-3.27E-05,0,-0.000188326,9.34E-11,-0.000222569,-0.256209559,-0.201365031
1767,0.000742133,-0.000104932,0.000151905,0,0,0,0,0,0,0,0,0.008331127,2.13E-06,-3.12E-06,1.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159401,0,0,8.11E-07,-9.31E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-11,0,0,0,1.05E-09,0,0,0.036162212,0.002271343,0.008472059,-1.22E-09,9.41E-07,-1.32E-07,1.65E-06,0,0,0.000670788,0.000137908,0,-3.12E-05,0,0,0,3.17E-06,0.000731828,0.000332265,0,-0.0001997,1.40E-10,-0.000236009,-0.294808672,-0.237220401
1768,0.00206511,-0.000291991,0.0004227,0,0,0,0,0,0,0,0,0.008792689,2.22E-06,-3.26E-06,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755928,0,0,8.35E-07,-9.59E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E-11,0,0,0,1.31E-09,0,0,0.036964179,0.002322612,0.008663289,-3.26E-09,2.51E-06,-3.48E-07,4.36E-06,0,0,0.000713081,0.000146605,0,0.000203964,0,0,0,0.00028879,-0.00290451,-0.001318706,0,-0.000355148,1.87E-10,-0.000419681,0.020707781,0.076754492
1769,0.0030027,-0.000424559,0.000614612,0,0,0,0,0,0,0,0,0.009260135,2.31E-06,-3.38E-06,1.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122328,0,0,8.59E-07,-9.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-11,0,0,0,1.57E-09,0,0,0.037730187,0.002371618,0.008846081,-4.46E-09,3.42E-06,-4.83E-07,6.04E-06,0,0,0.000755877,0.000155405,0,0.000393608,0,0,0,0.000453411,-0.006108303,-0.002773292,0,-0.000502244,2.34E-10,-0.000593451,0.1896153,0.244020403
1770,0.00256367,-0.000362484,0.000524749,0,0,0,0,0,0,0,0,0.009736451,2.39E-06,-3.51E-06,1.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001060974,0,0,8.81E-07,-1.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90E-11,0,0,0,1.84E-09,0,0,0.038400474,0.00241453,0.00900614,-4.88E-09,3.75E-06,-5.36E-07,6.71E-06,0,0,0.000799189,0.000164312,0,0.000327109,0,0,0,0.000318845,-0.005496243,-0.002495404,0,-0.000504863,2.80E-10,-0.000596544,0.124882765,0.180744439
